created_at,start_time,status,tip_amount,id,amount,details,created_at,updated_at,team_member_id,order_id
,2020-05-29 20:00:00.000000,checked_in,,,,,,,,
,2020-05-29 18:18:00.000000,complete,,,,,,,,
,2020-05-29 18:15:00.000000,complete,,,,,,,,
,2020-05-29 17:30:00.000000,complete,,,,,,,,
,2020-05-29 17:30:00.000000,complete,,,,,,,,
,2020-05-29 17:30:00.000000,complete,,,,,,,,
,2020-05-29 17:15:00.000000,complete,,,,,,,,
,2020-05-29 16:30:00.000000,complete,,,,,,,,
,2020-05-29 16:30:00.000000,complete,,,,,,,,
,2020-05-29 15:30:00.000000,complete,,,,,,,,
,2020-05-29 15:30:00.000000,complete,,,,,,,,
,2020-05-29 14:00:00.000000,complete,,,,,,,,
,2020-05-29 14:00:00.000000,complete,,,,,,,,
,2020-05-28 22:15:00.000000,complete,,,,,,,,
,2020-05-28 22:00:00.000000,complete,,,,,,,,
,2020-05-28 21:26:00.000000,complete,,,,,,,,
,2020-05-28 21:15:00.000000,complete,,,,,,,,
,2020-05-28 20:00:00.000000,complete,,,,,,,,
,2020-05-28 20:00:00.000000,complete,,,,,,,,
,2020-05-28 19:15:00.000000,complete,,,,,,,,
,2020-05-28 19:00:00.000000,complete,,,,,,,,
,2020-05-28 18:45:00.000000,complete,,,,,,,,
,2020-05-28 18:00:00.000000,complete,,,,,,,,
,2020-05-28 18:00:00.000000,complete,,,,,,,,
,2020-05-28 15:00:00.000000,complete,,,,,,,,
,2020-05-28 14:00:00.000000,complete,,,,,,,,
,2020-05-28 14:00:00.000000,complete,,,,,,,,
,2020-05-27 21:00:00.000000,complete,,,,,,,,
,2020-05-27 21:00:00.000000,complete,,,,,,,,
,2020-05-27 19:45:00.000000,complete,,,,,,,,
,2020-05-27 19:45:00.000000,complete,,,,,,,,
,2020-05-27 19:00:00.000000,complete,,,,,,,,
,2020-05-27 19:00:00.000000,complete,,,,,,,,
,2020-05-27 18:15:00.000000,complete,,,,,,,,
,2020-05-27 18:15:00.000000,complete,,,,,,,,
,2020-05-27 17:30:00.000000,complete,,,,,,,,
,2020-05-27 16:15:00.000000,complete,,,,,,,,
,2020-05-27 15:00:00.000000,complete,,,,,,,,
,2020-05-26 22:30:00.000000,complete,,,,,,,,
,2020-05-26 22:00:00.000000,complete,,,,,,,,
,2020-05-26 20:45:00.000000,complete,,,,,,,,
,2020-05-26 20:30:00.000000,complete,,,,,,,,
,2020-05-26 20:00:00.000000,complete,,,,,,,,
,2020-05-26 19:00:00.000000,complete,,,,,,,,
,2020-05-26 18:45:00.000000,complete,,,,,,,,
,2020-05-26 17:30:00.000000,complete,,,,,,,,
,2020-05-26 16:30:00.000000,complete,,,,,,,,
,2020-05-26 14:00:00.000000,complete,,,,,,,,
,2020-05-26 13:30:00.000000,complete,,,,,,,,
,2020-05-25 19:00:00.000000,complete,,,,,,,,
,2020-05-25 16:45:00.000000,complete,,,,,,,,
,2020-05-25 16:00:00.000000,complete,,,,,,,,
,2020-05-25 14:00:00.000000,complete,,,,,,,,
,2020-05-23 22:30:00.000000,complete,,,,,,,,
,2020-05-23 22:30:00.000000,complete,,,,,,,,
,2020-05-23 20:30:00.000000,complete,,,,,,,,
,2020-05-23 19:30:00.000000,complete,,,,,,,,
,2020-05-23 18:45:00.000000,complete,,,,,,,,
,2020-05-23 15:00:00.000000,complete,,,,,,,,
,2020-05-23 14:45:00.000000,complete,,,,,,,,
,2020-05-23 14:00:00.000000,complete,,,,,,,,
,2020-05-22 22:30:00.000000,complete,,,,,,,,
,2020-05-22 22:30:00.000000,complete,,,,,,,,
,2020-05-22 22:30:00.000000,complete,,,,,,,,
,2020-05-22 21:00:00.000000,complete,,,,,,,,
,2020-05-22 19:30:00.000000,complete,,,,,,,,
,2020-05-22 18:30:00.000000,complete,,,,,,,,
,2020-05-22 18:30:00.000000,complete,,,,,,,,
,2020-05-22 18:15:00.000000,complete,,,,,,,,
,2020-05-22 16:30:00.000000,complete,,,,,,,,
,2020-05-22 16:15:00.000000,complete,,,,,,,,
,2020-05-22 16:00:00.000000,complete,,,,,,,,
,2020-05-22 15:15:00.000000,complete,,,,,,,,
,2020-05-22 14:00:00.000000,complete,,,,,,,,
,2020-05-22 14:00:00.000000,complete,,,,,,,,
,2020-05-21 21:45:00.000000,complete,,,,,,,,
,2020-05-21 18:30:00.000000,complete,,,,,,,,
,2020-05-21 18:30:00.000000,complete,,,,,,,,
,2020-05-21 18:30:00.000000,complete,,,,,,,,
,2020-05-20 17:30:00.000000,complete,,,,,,,,
,2020-05-20 17:30:00.000000,complete,,,,,,,,
,2020-05-20 16:15:00.000000,complete,,,,,,,,
,2020-05-20 16:00:00.000000,complete,,,,,,,,
,2020-05-20 14:30:00.000000,complete,,,,,,,,
,2020-05-20 14:00:00.000000,complete,,,,,,,,
,2020-05-20 14:00:00.000000,complete,,,,,,,,
,2020-05-19 22:00:00.000000,complete,,,,,,,,
,2020-05-19 16:00:00.000000,complete,,,,,,,,
,2020-05-16 17:30:00.000000,complete,,,,,,,,
,2020-05-14 23:12:00.000000,complete,,,,,,,,
,2020-05-14 22:30:00.000000,complete,,,,,,,,
,2020-05-14 21:30:00.000000,complete,,,,,,,,
,2020-05-14 21:30:00.000000,complete,,,,,,,,
,2020-05-13 16:00:00.000000,complete,,,,,,,,
,2020-05-13 14:30:00.000000,complete,,,,,,,,
,2020-05-13 14:00:00.000000,complete,,,,,,,,
,2020-05-12 22:18:00.000000,complete,,,,,,,,
,2020-05-11 14:15:00.000000,no_show,,,,,,,,
,2020-05-09 18:00:00.000000,complete,,,,,,,,
,2020-05-09 16:00:00.000000,complete,,,,,,,,
,2020-05-08 16:57:16.000000,complete,,,,,,,,
,2020-05-08 15:00:00.000000,canceled,,,,,,,,
,2020-05-08 14:00:00.000000,complete,,,,,,,,
,2020-05-07 18:00:00.000000,complete,,,,,,,,
2020-05-21,2020-05-21 23:00:00.000000,complete,600,51821,40.00,"{""order"": {""id"": ""afe6a385-3053-446d-8080-4a4a6ba1186f"", ""notes"": ""SpotOn 2.9.0 (2090)"", ""amounts"": {""currency"": ""USD"", ""fee_total"": 0, ""net_total"": 4000, ""sub_total"": 4000, ""tax_total"": 0, ""discount_total"": 0}, ""statuses"": {""status"": ""OPENED"", ""fulfillment_status"": ""NONE"", ""transaction_status_summary"": ""NONE""}, ""created_at"": ""2020-05-21T19:57:21.000-04:00""}, ""amount"": 4000, ""status"": ""COMPLETED"", ""voucher"": false, ""currency"": ""USD"", ""auth_token"": ""lls07q6yk4d8aqwk5gzm7ehocnguvusq"", ""tip_amount"": 600, ""manual_entry"": false, ""multi_tender"": true, ""transactions"": [{""id"": ""39abf77f-0172-1000-0e5f-0629c1c75236"", ""action"": ""AUTHORIZE"", ""status"": ""AUTHORIZED"", ""amounts"": {""currency"": ""USD"", ""tip_amount"": 600, ""order_amount"": 4000, ""cashback_amount"": 0, ""transaction_amount"": 4000}, ""context"": {""mcc"": ""7230"", ""source"": ""INSTORE"", ""store_id"": ""c83f9733-7ba0-436d-ae7d-20ca372baa55"", ""source_app"": ""com.spoton.poynt.android"", ""business_id"": ""f25139b3-6e2e-4c74-b97c-4339b48654b4"", ""business_type"": ""MERCHANT"", ""store_device_id"": ""urn:tid:4b9ab620-3f44-33ef-a030-a2adad293753"", ""employee_user_id"": 219523057, ""transmission_at_local"": ""2020-05-21T19:57:50.000-04:00""}, ""created_at"": ""2020-05-21T19:57:52.000-04:00"", ""updated_at"": ""2020-05-21T19:57:53.000-04:00"", ""funding_source"": {""card"": {""id"": 220798601, ""type"": ""VISA"", ""number_last_4"": ""6777"", ""number_masked"": ""405049******6777"", ""number_first_6"": ""405049"", ""card_holder_full_name"": ""MCINTURFF/ SCYRON R"", ""card_holder_last_name"": ""MCINTURFF"", ""card_holder_first_name"": ""SCYRON R""}, ""type"": ""CREDIT_DEBIT"", ""debit"": false}, ""customer_user_id"": 222663000, ""processor_response"": {""status"": ""Successful"", ""acquirer"": ""TSYS"", ""processor"": ""TSYS"", ""status_code"": ""00"", ""approval_code"": ""003967"", ""transaction_id"": ""460142862729247"", ""approved_amount"": 4000}}], ""cashback_amount"": 0, ""non_referenced_credit"": false}",2020-05-21 23:58:09.755972,2020-05-21 23:58:09.755991,6181,55749
